date,symbol,open,high,low,close,volume
2026-04-28,RBLX,57.06,58.89,55.92,56.11,6501456
2026-04-28,U,26.21,27.30,26.11,26.54,10238183
2026-04-29,RBLX,55.65,56.89,53.91,56.28,7028545
2026-04-29,U,26.22,26.2575,25.32,26.11,7043052
2026-04-30,RBLX,55.71,56.82,54.91,55.26,23970795
2026-04-30,U,26.10,26.455,25.14,26.42,7298070
2026-05-01,RBLX,42.38,47.4383,41.75,45.13,53403932
2026-05-01,U,26.95,27.60,26.70,27.13,9201024
2026-05-04,RBLX,44.92,48.43,44.60,47.57,17674462
2026-05-04,U,27.41,28.25,27.005,27.72,10808099
2026-05-05,RBLX,47.13,47.58,43.50,44.04,18962209
2026-05-05,U,27.99,28.1499,27.00,27.34,8313814
2026-05-06,RBLX,44.21,44.64,43.36,43.76,13990658
2026-05-06,U,27.13,27.545,26.63,27.28,14524759
2026-05-07,RBLX,44.29,45.98,44.17,44.78,10619796
2026-05-07,U,29.86,30.65,26.33,26.73,32802150
2026-05-08,RBLX,44.13,44.489,41.66,41.91,17103399
2026-05-08,U,26.495,28.18,25.81,28.16,17315070
2026-05-11,RBLX,41.265,42.38,40.95,41.31,14348983
2026-05-11,U,27.93,28.34,26.05,26.87,14314432
2026-05-12,RBLX,42.04,43.4758,41.455,41.54,14013526
2026-05-12,U,26.75,27.41,26.34,26.84,8529208
2026-05-13,RBLX,41.12,42.24,40.15,41.96,10781331
2026-05-13,U,26.82,27.06,25.76,26.89,6589227
2026-05-14,RBLX,42.05,43.94,41.3104,43.72,10278587
2026-05-14,U,26.97,27.715,26.52,27.28,7991001
2026-05-15,RBLX,43.79,44.19,42.07,42.85,11437546
2026-05-15,U,26.99,27.855,26.7001,27.16,12560496
2026-05-18,RBLX,42.82,47.5999,42.65,46.98,16138535
2026-05-18,U,27.22,28.10,26.495,26.80,9058409
2026-05-19,RBLX,47.08,47.53,43.88,44.45,14107954
2026-05-19,U,27.025,27.2901,25.2106,26.20,9352284
2026-05-20,RBLX,45.20,45.965,43.7836,45.79,12049283
2026-05-20,U,26.44,26.65,25.4505,26.23,6718181
2026-05-21,RBLX,45.24,46.93,44.934,46.14,9000957
2026-05-21,U,25.775,26.13,25.29,25.54,6670845
2026-05-22,RBLX,46.36,48.37,46.36,48.16,10135642
2026-05-22,U,25.72,26.58,25.0003,25.57,7797676
2026-05-26,RBLX,48.25,48.53,44.90,46.00,12287165
2026-05-26,U,26.72,27.6784,26.65,26.77,17107498
2026-05-27,RBLX,45.88,46.95,45.61,45.63,8353072
2026-05-27,U,26.74,28.27,26.52,27.76,9423150
2026-05-28,RBLX,45.765,47.67,45.4097,46.83,9266866
2026-05-28,U,27.45,30.095,27.312,29.94,14184192
2026-05-29,RBLX,46.52,47.84,46.24,47.15,11055253
2026-05-29,U,30.04,30.91,29.44,30.47,9723526
2026-06-01,RBLX,47.76,47.99,45.83,47.00,10221909
2026-06-01,U,31.54,32.575,30.61,32.17,14790863
2026-06-02,RBLX,46.87,48.00,44.35,45.00,9087304
2026-06-02,U,31.92,31.94,30.405,30.77,10143923
2026-06-03,RBLX,44.39,44.81,42.69,43.68,8856407
2026-06-03,U,30.25,30.5109,28.96,29.22,6350787
2026-06-04,RBLX,44.36,45.05,43.26,43.35,7976400
2026-06-04,U,29.68,30.685,29.15,30.03,7520544
2026-06-05,RBLX,43.255,43.8399,41.07,41.82,9329251
2026-06-05,U,30.95,31.40,28.70,29.17,10816027
2026-06-08,RBLX,41.67,42.88,40.95,42.30,9724472
2026-06-08,U,29.50,29.89,28.74,28.80,6333727
2026-06-09,RBLX,42.07,44.57,41.60,43.00,14585140
2026-06-09,U,28.52,29.65,26.86,28.44,16206411
2026-06-10,RBLX,42.045,43.15,41.405,41.50,9278985
2026-06-10,U,27.00,28.11,26.37,26.66,11440588
2026-06-11,RBLX,41.25,43.60,40.68,43.49,11652733
2026-06-11,U,26.20,26.90,25.77,26.71,7441618
2026-06-12,RBLX,43.63,44.00,41.635,43.31,10504528
2026-06-12,U,26.72,27.605,26.11,27.24,6881171
2026-06-15,RBLX,44.09,45.82,43.56,45.66,9508982
2026-06-15,U,28.00,28.535,27.765,28.49,6369996
2026-06-16,RBLX,45.90,49.655,45.53,49.34,14044275
2026-06-16,U,28.23,28.62,27.7008,28.06,6234913
2026-06-17,RBLX,48.89,50.84,47.61,48.02,13594358
2026-06-17,U,27.92,28.10,26.30,26.47,7125399
2026-06-18,RBLX,48.97,53.02,48.16,51.53,21821977
2026-06-18,U,26.40,27.50,25.57,27.48,9451663
2026-06-22,RBLX,48.20,49.50,46.02,47.27,21752673
2026-06-22,U,27.00,27.63,26.38,27.14,4702431
2026-06-23,RBLX,46.70,49.48,46.28,47.11,12258245
2026-06-23,U,26.77,27.80,26.65,27.61,9196301
2026-06-24,RBLX,47.00,49.54,46.60,47.94,8146392
2026-06-24,U,27.59,28.1788,27.02,27.15,5364685
2026-06-25,RBLX,47.74,47.74,45.15,46.39,9577944
2026-06-25,U,26.86,27.06,25.91,26.71,4574702
2026-06-26,RBLX,45.935,47.69,44.70,47.56,10790334
2026-06-26,U,26.31,28.49,26.31,28.23,8117979
2026-06-29,RBLX,50.90,55.3516,50.79,54.34,16926881
2026-06-29,U,28.74,29.27,28.14,28.31,4972307
2026-06-30,RBLX,54.52,55.99,53.90,54.38,9513901
