id,start_date,phase,status,therapeutic_area,sponsor,country,enrollment,sites
1140,2023-02-16,Phase 3,Terminated,Infectious Disease,Janssen,NL,861,30
1128,2023-03-19,Phase 3,Terminated,Oncology,Novartis,BE,918,114
1033,2023-03-21,Phase 1,Active,Rare Disease,Roche,BE,55,5
1105,2023-03-26,Phase 1,Terminated,Neurology,Janssen,UK,61,1
1075,2023-04-04,Phase 3,Recruiting,Oncology,Janssen,DE,505,18
1029,2023-04-17,Phase 4,Recruiting,Infectious Disease,argenx,UK,786,56
1113,2023-05-07,Phase 4,Active,Neurology,Roche,UK,810,27
1126,2023-05-19,Phase 2,Completed,Oncology,UCB,DE,259,8
1120,2023-05-20,Phase 1,Recruiting,Infectious Disease,Novartis,FR,97,5
1062,2023-05-28,Phase 3,Recruiting,Neurology,Novartis,US,1614,70
1114,2023-06-08,Phase 1,Recruiting,Rare Disease,Roche,US,101,11
1100,2023-06-19,Phase 1,Completed,Oncology,argenx,UK,56,3
1015,2023-06-27,Phase 2,Recruiting,Rare Disease,Pfizer,NL,245,6
1101,2023-07-19,Phase 2,Active,Immunology,argenx,NL,276,7
1071,2023-08-09,Phase 2,Completed,Oncology,Novartis,UK,174,8
1047,2023-08-20,Phase 2,Completed,Oncology,Pfizer,BE,155,17
1026,2023-09-03,Phase 1,Active,Neurology,Pfizer,BE,87,4
1130,2023-10-02,Phase 4,Completed,Neurology,Novartis,NL,203,11
1040,2023-10-14,Phase 1,Terminated,Infectious Disease,argenx,US,42,1
1102,2023-11-25,Phase 1,Completed,Immunology,Pfizer,BE,70,2
1133,2023-12-14,Phase 1,Recruiting,Oncology,UCB,DE,61,4
1092,2023-12-16,Phase 3,Completed,Oncology,Novartis,US,678,19
1049,2023-12-17,Phase 3,Recruiting,Immunology,Janssen,FR,1070,48
1013,2023-12-24,Phase 2,Recruiting,Rare Disease,argenx,FR,160,4
1025,2024-01-19,Phase 2,Completed,Infectious Disease,Novartis,BE,159,7
