date,open,high,low,close,volume
2026-04-28,26.21,27.30,26.11,26.54,10238183
2026-04-29,26.22,26.2575,25.32,26.11,7043052
2026-04-30,26.10,26.455,25.14,26.42,7298070
2026-05-01,26.95,27.60,26.70,27.13,9201024
2026-05-04,27.41,28.25,27.005,27.72,10808099
2026-05-05,27.99,28.1499,27.00,27.34,8313814
2026-05-06,27.13,27.545,26.63,27.28,14524759
2026-05-07,29.86,30.65,26.33,26.73,32802150
2026-05-08,26.495,28.18,25.81,28.16,17315070
2026-05-11,27.93,28.34,26.05,26.87,14314432
2026-05-12,26.75,27.41,26.34,26.84,8529208
2026-05-13,26.82,27.06,25.76,26.89,6589227
2026-05-14,26.97,27.715,26.52,27.28,7991001
2026-05-15,26.99,27.855,26.7001,27.16,12560496
2026-05-18,27.22,28.10,26.495,26.80,9058409
2026-05-19,27.025,27.2901,25.2106,26.20,9352284
2026-05-20,26.44,26.65,25.4505,26.23,6718181
2026-05-21,25.775,26.13,25.29,25.54,6670845
2026-05-22,25.72,26.58,25.0003,25.57,7797676
2026-05-26,26.72,27.6784,26.65,26.77,17107498
2026-05-27,26.74,28.27,26.52,27.76,9423150
2026-05-28,27.45,30.095,27.312,29.94,14184192
2026-05-29,30.04,30.91,29.44,30.47,9723526
2026-06-01,31.54,32.575,30.61,32.17,14790863
2026-06-02,31.92,31.94,30.405,30.77,10143923
2026-06-03,30.25,30.5109,28.96,29.22,6350787
2026-06-04,29.68,30.685,29.15,30.03,7520544
2026-06-05,30.95,31.40,28.70,29.17,10816027
2026-06-08,29.50,29.89,28.74,28.80,6333727
2026-06-09,28.52,29.65,26.86,28.44,16206411
2026-06-10,27.00,28.11,26.37,26.66,11440588
2026-06-11,26.20,26.90,25.77,26.71,7441618
2026-06-12,26.72,27.605,26.11,27.24,6881171
2026-06-15,28.00,28.535,27.765,28.49,6369996
2026-06-16,28.23,28.62,27.7008,28.06,6234913
2026-06-17,27.92,28.10,26.30,26.47,7125399
2026-06-18,26.40,27.50,25.57,27.48,9451663
2026-06-22,27.00,27.63,26.38,27.14,4702431
2026-06-23,26.77,27.80,26.65,27.61,9196301
2026-06-24,27.59,28.1788,27.02,27.15,5364685
2026-06-25,26.86,27.06,25.91,26.71,4574702
2026-06-26,26.31,28.49,26.31,28.23,8117979
2026-06-29,28.74,29.27,28.14,28.31,4972307
2026-06-30,27.87,28.90,27.80,28.58,5598155
2026-07-01,29.18,31.21,28.94,30.19,9321285
2026-07-02,29.90,30.51,28.64,29.32,7667922
2026-07-06,28.94,30.24,28.85,29.65,5658665
2026-07-07,30.24,30.70,29.33,29.66,6341892
2026-07-08,28.89,29.49,28.30,29.46,4290382
2026-07-09,28.82,30.80,28.75,30.73,6324806
2026-07-10,32.24,33.05,30.77,30.89,13026697
2026-07-13,31.00,31.10,29.65,30.68,6698353
2026-07-14,29.93,31.85,29.781,31.75,5596226
2026-07-15,32.17,32.37,30.86,31.27,7515043
2026-07-16,31.26,31.785,29.905,30.19,4633055
2026-07-17,29.02,29.69,28.62,28.99,6244808
2026-07-20,28.87,30.65,28.795,29.81,6971818
2026-07-21,29.88,30.675,29.69,29.87,9567589
2026-07-22,30.08,30.08,28.87,29.27,6870450
2026-07-23,29.05,29.19,27.83,28.94,7855760
2026-07-24,29.46,29.53,28.14,28.62,4676396
2026-07-27,29.52,30.94,29.24,30.44,6932604
2026-07-28,30.12,31.87,29.73,31.83,8026570
2026-07-29,32.105,32.85,31.13,32.04,8145867
2026-07-30,32.28,33.48,31.705,33.34,8141628
2026-07-31,32.68,32.84,30.45,31.71,11587845
2026-08-03,32.575,34.27,32.41,33.38,12846659
2026-08-04,33.89,35.69,33.49,35.22,15355304
2026-08-05,36.15,36.5595,35.06,35.47,17457467
2026-08-06,36.01,41.66,34.80,40.81,41035822
2026-08-07,42.54,44.38,41.77,43.00,18559608
2026-08-10,42.74,43.55,42.07,43.10,14606375
2026-08-11,42.76,43.89,42.10,43.87,11393389
2026-08-12,43.69,44.57,42.83,44.53,11530756
2026-08-13,44.615,45.84,44.1028,45.79,12557297
2026-08-14,45.55,46.39,45.15,46.25,9591112
2026-08-17,46.21,46.68,45.02,45.45,9970751
2026-08-18,45.50,47.25,45.21,46.74,11831521
2026-08-19,46.58,47.70,46.305,47.11,10214834
2026-08-20,47.25,48.46,45.76,46.54,12191524
2026-08-21,46.77,46.97,46.00,46.93,7498284
2026-08-24,46.76,46.90,45.96,46.16,9377600
2026-08-25,46.04,46.20,44.7926,44.99,9100875
2026-08-26,44.28,45.57,44.05,44.38,8951791
2026-08-27,44.81,45.00,43.24,43.49,11275304
2026-08-28,43.02,44.00,42.75,43.31,7637445
2026-08-31,43.46,43.80,41.60,42.10,12891624
2026-09-01,41.22,41.99,40.80,40.92,9021780
2026-09-02,40.42,41.57,40.22,40.76,7434037
2026-09-03,41.30,43.54,40.995,42.08,10624334
2026-09-04,41.46,41.84,40.88,41.66,5201191
2026-09-08,41.50,42.92,40.67,42.75,10239404
2026-09-09,43.18,43.18,41.80,42.54,7213010
2026-09-10,41.61,42.70,40.81,42.07,11161356
2026-09-11,42.01,44.24,41.99,43.96,7920224
2026-09-14,44.37,44.62,42.64,43.45,7492072
2026-09-15,43.01,43.675,42.46,43.01,6766617
2026-09-16,42.93,43.40,41.64,42.13,5801291
2026-09-17,42.50,43.00,41.77,41.84,3965121
2026-09-18,41.99,42.19,40.79,41.40,14333528
